배치,순번,도감번호,파일명,꽃이름,학명,계절,대표색,형태 참고,특징 (일러스트 시 강조점),작업상태,1차 시안,피드백,최종
1,16,13,flower_013_산수유.svg,산수유,Cornus officinalis,봄,노랑,층층나무과 · 3~4월 개화 · 공원·가로수,"개나리와 색 동일. 꽃 형태로 구분 / '개나리,생강나무'와 구분되게",미착수,,,
1,17,18,flower_018_조팝나무.svg,조팝나무,Spiraea prunifolia,봄,흰색,장미과 · 4월 개화 · 공원·도로변,흰 좁쌀 모양 군집 / '쥐똥나무'와 구분되게,미착수,,,
1,18,19,flower_019_수수꽃다리.svg,수수꽃다리,Syringa dilatata,봄,보라,물푸레나무과 · 4~5월 개화 · 공원·학교,표시명 '라일락' 병기 필수 — 대중 인지명,미착수,,,
1,19,21,flower_021_아까시나무.svg,아까시나무,Robinia pseudoacacia,봄,흰색,콩과 · 5~6월 개화 · 산지·도로변,표시명 '아카시아꽃' 병기 — 대중 인지명 / '회화나무'와 구분되게,미착수,,,
1,20,22,flower_022_등나무.svg,등나무,Wisteria floribunda,봄,보라,콩과 · 5월 개화 · 공원 그늘막·정자,보라 계열 봄꽃 / '칡꽃'와 구분되게,미착수,,,
1,21,29,flower_029_찔레꽃.svg,찔레꽃,Rosa multiflora,봄,흰색,장미과 · 5~6월 개화 · 들·산기슭,"흰색 계열 봄꽃 / '장미,해당화'와 구분되게",미착수,,,
1,22,31,flower_031_민들레.svg,민들레,Taraxacum platycarpum,봄,노랑,국화과 · 3~5월 개화 · 길가·공터,"온보딩 추천 1순위. 서양민들레와 통합 표시 검토 / '서양민들레,씀바귀'와 구분되게",미착수,,,
1,23,32,flower_032_서양민들레.svg,서양민들레,Taraxacum officinale,봄,노랑,국화과 · 3~10월 개화 · 길가·공터,실제 도심 개체 대부분. 총포로만 구분 → 통합 여부 결정 필요 / '민들레'와 구분되게,미착수,,,
1,24,33,flower_033_제비꽃.svg,제비꽃,Viola mandshurica,봄,보라,제비꽃과 · 4~5월 개화 · 길가·잔디밭,"보라 계열 봄꽃 / '남산제비꽃,팬지'와 구분되게",미착수,,,
1,25,36,flower_036_큰개불알풀.svg,큰개불알풀,Veronica persica,봄,파랑,현삼과 · 3~5월 개화 · 길가·밭,표시명 '봄까치꽃' 사용 권고 — 원명 부적절 / '꽃마리'와 구분되게,미착수,,,
1,26,44,flower_044_애기똥풀.svg,애기똥풀,Chelidonium majus,봄,노랑,양귀비과 · 5~8월 개화 · 길가·담장 밑,노랑 계열 봄꽃 / '씀바귀'와 구분되게,미착수,,,
1,27,50,flower_050_유채꽃.svg,유채꽃,Brassica napus,봄,노랑,십자화과 · 3~5월 개화 · 강변·경관 밭,제주·강변 대규모 군락 / 도감 외 혼동종: 배추꽃,미착수,,,
1,28,51,flower_051_토끼풀.svg,토끼풀,Trifolium repens,봄,흰색,콩과 · 5~8월 개화 · 잔디밭·공원,온보딩 추천. 네잎 발견 이벤트 확장 여지 / '붉은토끼풀'와 구분되게,미착수,,,
1,29,68,flower_068_튤립.svg,튤립,Tulipa gesneriana,봄,기타,백합과 · 4~5월 개화 · 화단·공원,색 변이 다수 → 색상 필터에서 '기타' 처리,미착수,,,
1,30,69,flower_069_수선화.svg,수선화,Narcissus tazetta,봄,노랑,수선화과 · 3~4월 개화 · 화단·공원,노랑 계열 봄꽃,미착수,,,
1,31,73,flower_073_팬지.svg,팬지,Viola × wittrockiana,봄,기타,제비꽃과 · 3~5월 개화 · 화단·화분,"도심 화단 최다 초화 / '비올라,제비꽃'와 구분되게",미착수,,,
1,32,79,flower_079_꽃잔디.svg,꽃잔디,Phlox subulata,봄,분홍,꽃고비과 · 4~5월 개화 · 화단·경사면,표시명 '지면패랭이꽃' 병기,미착수,,,
1,33,81,flower_081_장미.svg,장미,Rosa hybrida,여름,붉은색,장미과 · 5~10월 개화 · 화단·담장,"기획서 예시 종. 온보딩 추천 1순위 / '찔레꽃,해당화'와 구분되게",미착수,,,
1,34,83,flower_083_수국.svg,수국,Hydrangea macrophylla,여름,파랑,수국과 · 6~7월 개화 · 공원·정원,"토양 pH로 색 변화 — 색상 필터 예외 처리 / '산수국,나무수국'와 구분되게",미착수,,,
1,35,86,flower_086_능소화.svg,능소화,Campsis grandiflora,여름,주황,능소화과 · 7~8월 개화 · 담장·아파트 화단,여름 도심 대표 꽃,미착수,,,
1,36,87,flower_087_배롱나무.svg,배롱나무,Lagerstroemia indica,여름,분홍,부처꽃과 · 7~9월 개화 · 공원·가로수,표시명 '백일홍(나무)' 혼동 주의 → 배롱나무로 확정,미착수,,,
1,37,88,flower_088_무궁화.svg,무궁화,Hibiscus syriacus,여름,분홍,아욱과 · 7~9월 개화 · 공원·학교·관공서,"국화(國花). 시즌 컬렉션 소재 / '부용,접시꽃'와 구분되게",미착수,,,
1,38,90,flower_090_자귀나무.svg,자귀나무,Albizia julibrissin,여름,분홍,콩과 · 6~7월 개화 · 공원·도로변,부채 형태 = 판별 용이,미착수,,,
1,39,101,flower_101_개망초.svg,개망초,Erigeron annuus,여름,흰색,국화과 · 6~8월 개화 · 공터·길가,"전국 최다 야생화. 온보딩 추천 1순위 / '망초,실망초'와 구분되게",미착수,,,
1,40,104,flower_104_큰금계국.svg,큰금계국,Coreopsis lanceolata,여름,노랑,국화과 · 6~8월 개화 · 도로변·하천,"도로변 경관 식재 최다. 실제 대부분이 큰금계국 / '금계국,기생초'와 구분되게",미착수,,,
1,41,105,flower_105_금계국.svg,금계국,Coreopsis basalis,여름,노랑,국화과 · 6~8월 개화 · 화단·도로변,기획서 예시 종. 큰금계국과 통합 여부 결정 필요 / '큰금계국'와 구분되게,미착수,,,
1,42,107,flower_107_원추천인국.svg,원추천인국,Rudbeckia hirta,여름,노랑,국화과 · 7~9월 개화 · 화단·도로변,"표시명 '루드베키아' 병기 — 대중 인지명 / '삼잎국화,해바라기'와 구분되게",미착수,,,
1,43,109,flower_109_해바라기.svg,해바라기,Helianthus annuus,여름,노랑,국화과 · 7~9월 개화 · 밭·경관 화단,노랑 계열 여름꽃,미착수,,,
1,44,111,flower_111_노랑코스모스.svg,노랑코스모스,Cosmos sulphureus,여름,주황,국화과 · 7~10월 개화 · 도로변·하천,"주황 계열 여름꽃 / '코스모스,금계국'와 구분되게",미착수,,,
1,45,112,flower_112_나팔꽃.svg,나팔꽃,Ipomoea nil,여름,보라,메꽃과 · 7~9월 개화 · 담장·울타리,"보라 계열 여름꽃 / '메꽃,애기나팔꽃'와 구분되게",미착수,,,
1,46,115,flower_115_달맞이꽃.svg,달맞이꽃,Oenothera biennis,여름,노랑,바늘꽃과 · 6~9월 개화 · 하천변·공터,저녁 개화 — 촬영 시간 안내 필요 / '낮달맞이꽃'와 구분되게,미착수,,,
1,47,116,flower_116_낮달맞이꽃.svg,낮달맞이꽃,Oenothera speciosa,여름,분홍,바늘꽃과 · 5~9월 개화 · 화단·도로변,분홍 계열 여름꽃 / '달맞이꽃'와 구분되게,미착수,,,
1,48,117,flower_117_접시꽃.svg,접시꽃,Alcea rosea,여름,분홍,아욱과 · 6~8월 개화 · 화단·담장 밑,"기획서 예시 종 / '무궁화,부용'와 구분되게",미착수,,,
1,49,143,flower_143_도라지.svg,도라지,Platycodon grandiflorus,여름,보라,초롱꽃과 · 7~8월 개화 · 밭·화단,풍선 봉오리 = 판별 용이,미착수,,,
1,50,147,flower_147_참나리.svg,참나리,Lilium lancifolium,여름,주황,백합과 · 7~8월 개화 · 산기슭·화단,검은 반점 = 판별 용이 / '백합'와 구분되게,미착수,,,
1,51,149,flower_149_원추리.svg,원추리,Hemerocallis fulva,여름,주황,백합과 · 6~8월 개화 · 도로변·공원,"주황 계열 여름꽃 / '노랑원추리,참나리'와 구분되게",미착수,,,
1,52,152,flower_152_비비추.svg,비비추,Hosta longipes,여름,보라,백합과 · 7~8월 개화 · 화단·공원 그늘,그늘 조경 최다 / '옥잠화'와 구분되게,미착수,,,
1,53,154,flower_154_연꽃.svg,연꽃,Nelumbo nucifera,여름,분홍,연꽃과 · 7~8월 개화 · 연못·수생공원,분홍 계열 여름꽃 / '수련'와 구분되게,미착수,,,
1,54,157,flower_157_백일홍.svg,백일홍,Zinnia elegans,여름,기타,국화과 · 6~10월 개화 · 화단,표시명 '백일초' 병기 (배롱나무와 구분) / '다알리아'와 구분되게,미착수,,,
1,55,158,flower_158_채송화.svg,채송화,Portulaca grandiflora,여름,기타,쇠비름과 · 6~9월 개화 · 화단·화분,기타 계열 여름꽃 / '송엽국'와 구분되게,미착수,,,
1,56,159,flower_159_송엽국.svg,송엽국,Lampranthus spectabilis,여름,분홍,석류풀과 · 4~6월 개화 · 화단·경사면,표시명 '사철채송화' 병기 / '채송화'와 구분되게,미착수,,,
1,57,160,flower_160_페튜니아.svg,페튜니아,Petunia hybrida,여름,기타,가지과 · 5~10월 개화 · 화단·걸이 화분,도심 화분 최다,미착수,,,
1,58,161,flower_161_메리골드.svg,메리골드,Tagetes erecta,여름,주황,국화과 · 6~10월 개화 · 화단,표시명 '천수국' 병기 / '만수국'와 구분되게,미착수,,,
1,59,163,flower_163_깨꽃.svg,깨꽃,Salvia splendens,여름,붉은색,꿀풀과 · 6~10월 개화 · 화단,표시명 '사르비아' 병기 — 대중 인지명,미착수,,,
2,60,49,flower_049_엉겅퀴.svg,엉겅퀴,Cirsium japonicum,가을,보라,국화과 · 6~8월 개화 · 들·산기슭,보라 계열 가을꽃 / '지칭개'와 구분되게,미착수,,,
2,61,89,flower_089_부용.svg,부용,Hibiscus mutabilis,가을,분홍,아욱과 · 8~10월 개화 · 공원·정원,"분홍 계열 가을꽃 / '무궁화,접시꽃'와 구분되게",미착수,,,
2,62,123,flower_123_배초향.svg,배초향,Agastache rugosa,가을,보라,꿀풀과 · 7~9월 개화 · 산기슭·밭,"표시명 '방아풀' 병기 검토 / '꿀풀,층층이꽃'와 구분되게",미착수,,,
2,63,129,flower_129_물봉선.svg,물봉선,Impatiens textori,가을,분홍,봉선화과 · 8~9월 개화 · 산지 계곡,분홍 계열 가을꽃 / '봉선화'와 구분되게,미착수,,,
2,64,141,flower_141_고마리.svg,고마리,Persicaria thunbergii,가을,분홍,마디풀과 · 8~9월 개화 · 물가·논둑,분홍 계열 가을꽃 / '여뀌'와 구분되게,미착수,,,
2,65,151,flower_151_옥잠화.svg,옥잠화,Hosta plantaginea,가을,흰색,백합과 · 8~9월 개화 · 화단·공원,흰색 계열 가을꽃 / '비비추'와 구분되게,미착수,,,
2,66,180,flower_180_산국.svg,산국,Chrysanthemum boreale,가을,노랑,국화과 · 9~11월 개화 · 산기슭·풀밭,"노랑 계열 가을꽃 / '감국,국화'와 구분되게",미착수,,,
2,67,185,flower_185_개미취.svg,개미취,Aster tataricus,가을,보라,국화과 · 8~10월 개화 · 산지·화단,보라 계열 가을꽃 / '벌개미취'와 구분되게,미착수,,,
2,68,186,flower_186_미국쑥부쟁이.svg,미국쑥부쟁이,Symphyotrichum pilosum,가을,흰색,국화과 · 9~10월 개화 · 공터·도로변,"생태교란종. 도심 최다 / '쑥부쟁이,개망초'와 구분되게",미착수,,,
2,69,191,flower_191_마타리.svg,마타리,Patrinia scabiosifolia,가을,노랑,마타리과 · 8~10월 개화 · 산기슭·풀밭,노랑 계열 가을꽃 / '뚝갈'와 구분되게,미착수,,,
2,70,194,flower_194_왕고들빼기.svg,왕고들빼기,Lactuca indica,가을,노랑,국화과 · 8~10월 개화 · 공터·길가,노랑 계열 가을꽃 / '고들빼기'와 구분되게,미착수,,,
2,71,197,flower_197_서양등골나물.svg,서양등골나물,Ageratina altissima,가을,흰색,국화과 · 9~10월 개화 · 산기슭·도심 숲,생태교란종 / 도감 외 혼동종: 등골나물,미착수,,,
2,72,200,flower_200_수크령.svg,수크령,Pennisetum alopecuroides,가을,기타,벼과 · 8~10월 개화 · 길가·도로변,꽃이삭 / 도감 외 혼동종: 강아지풀 / '억새'와 구분되게,미착수,,,
2,73,16,flower_016_애기동백.svg,애기동백,Camellia sasanqua,겨울,분홍,차나무과 · 10~12월 개화 · 공원·정원,분홍 계열 겨울꽃 / '동백꽃'와 구분되게,미착수,,,
2,74,7,flower_007_살구꽃.svg,살구꽃,Prunus armeniaca,봄,분홍,장미과 · 4월 개화 · 주택가·농가,"Prunus속 4종 혼동 그룹 / '매화,벚꽃,복사꽃'와 구분되게",미착수,,,
2,75,8,flower_008_복사꽃.svg,복사꽃,Prunus persica,봄,분홍,장미과 · 4~5월 개화 · 과수원·주택가,"표시명 '복숭아꽃' 병기 검토 / '살구꽃,벚꽃'와 구분되게",미착수,,,
2,76,11,flower_011_목련.svg,목련,Magnolia kobus,봄,흰색,목련과 · 3~4월 개화 · 공원·산지,표시명 '토종 목련' 검토 / '백목련'와 구분되게,미착수,,,
2,77,12,flower_012_자목련.svg,자목련,Magnolia liliiflora,봄,보라,목련과 · 4~5월 개화 · 공원·정원,보라 계열 봄꽃 / '백목련'와 구분되게,미착수,,,
2,78,17,flower_017_명자나무꽃.svg,명자나무꽃,Chaenomeles speciosa,봄,붉은색,장미과 · 4~5월 개화 · 정원·울타리,붉은색 계열 봄꽃 / '동백꽃'와 구분되게,미착수,,,
2,79,20,flower_020_이팝나무.svg,이팝나무,Chionanthus retusus,봄,흰색,물푸레나무과 · 5~6월 개화 · 가로수,최근 가로수 식재 급증 / '쥐똥나무'와 구분되게,미착수,,,
2,80,24,flower_024_황매화.svg,황매화,Kerria japonica,봄,노랑,장미과 · 4~5월 개화 · 공원·화단,노랑 계열 봄꽃,미착수,,,
2,81,25,flower_025_산딸나무.svg,산딸나무,Cornus kousa,봄,흰색,층층나무과 · 5~6월 개화 · 공원·가로수,십자형 흰 총포,미착수,,,
2,82,26,flower_026_쥐똥나무.svg,쥐똥나무,Ligustrum obtusifolium,봄,흰색,물푸레나무과 · 5~6월 개화 · 울타리·도로변,"생울타리 최다 / '이팝나무,조팝나무'와 구분되게",미착수,,,
2,83,27,flower_027_모란.svg,모란,Paeonia suffruticosa,봄,붉은색,작약과 · 5월 개화 · 정원·고궁,작약과 오인. 목본 여부가 구분점 / '작약'와 구분되게,미착수,,,
2,84,28,flower_028_작약.svg,작약,Paeonia lactiflora,봄,분홍,작약과 · 5~6월 개화 · 화단·농가,분홍 계열 봄꽃 / '모란'와 구분되게,미착수,,,
2,85,35,flower_035_꽃마리.svg,꽃마리,Trigonotis peduncularis,봄,파랑,지치과 · 4~5월 개화 · 길가·잔디밭,지름 2mm — 접사 유도 문구 필요 / '큰개불알풀'와 구분되게,미착수,,,
2,86,38,flower_038_별꽃.svg,별꽃,Stellaria media,봄,흰색,석죽과 · 3~5월 개화 · 길가·밭,"흰색 계열 봄꽃 / '쇠별꽃,개별꽃'와 구분되게",미착수,,,
2,87,41,flower_041_광대나물.svg,광대나물,Lamium amplexicaule,봄,분홍,꿀풀과 · 3~5월 개화 · 길가·밭,분홍 계열 봄꽃 / '자주광대나물'와 구분되게,미착수,,,
2,88,43,flower_043_냉이.svg,냉이,Capsella bursa-pastoris,봄,흰색,십자화과 · 3~5월 개화 · 길가·밭,도감 외 혼동종: 말냉이,미착수,,,
2,89,45,flower_045_씀바귀.svg,씀바귀,Ixeris dentata,봄,노랑,국화과 · 5~7월 개화 · 길가·들,"국화과 노란 꽃 혼동 그룹 / '고들빼기,민들레'와 구분되게",미착수,,,
2,90,46,flower_046_고들빼기.svg,고들빼기,Crepidiastrum sonchifolium,봄,노랑,국화과 · 5~8월 개화 · 길가·공터,"노랑 계열 봄꽃 / '씀바귀,뽀리뱅이'와 구분되게",미착수,,,
2,91,48,flower_048_지칭개.svg,지칭개,Hemistepta lyrata,봄,보라,국화과 · 5~7월 개화 · 길가·공터,보라 계열 봄꽃 / '엉겅퀴'와 구분되게,미착수,,,
2,92,52,flower_052_붉은토끼풀.svg,붉은토끼풀,Trifolium pratense,봄,분홍,콩과 · 5~8월 개화 · 길가·잔디밭,분홍 계열 봄꽃 / '토끼풀'와 구분되게,미착수,,,
2,93,56,flower_056_금낭화.svg,금낭화,Lamprocapnos spectabilis,봄,분홍,현호색과 · 5~6월 개화 · 화단·산지,형태 특이 = AI 판별 용이,미착수,,,
2,94,64,flower_064_붓꽃.svg,붓꽃,Iris sanguinea,봄,보라,붓꽃과 · 5~6월 개화 · 공원·화단,"보라 계열 봄꽃 / '꽃창포,노랑꽃창포'와 구분되게",미착수,,,
2,95,66,flower_066_노랑꽃창포.svg,노랑꽃창포,Iris pseudacorus,봄,노랑,붓꽃과 · 5~6월 개화 · 물가·수변공원,노랑 계열 봄꽃 / '꽃창포'와 구분되게,미착수,,,
2,96,70,flower_070_히아신스.svg,히아신스,Hyacinthus orientalis,봄,보라,아스파라거스과 · 4월 개화 · 화단·화분,보라 계열 봄꽃 / '무스카리'와 구분되게,미착수,,,
2,97,71,flower_071_무스카리.svg,무스카리,Muscari armeniacum,봄,파랑,아스파라거스과 · 4~5월 개화 · 화단,파랑 계열 봄꽃 / '히아신스'와 구분되게,미착수,,,
2,98,74,flower_074_비올라.svg,비올라,Viola cornuta,봄,기타,제비꽃과 · 3~5월 개화 · 화단·화분,팬지의 소형종. 통합 표시 검토 / '팬지'와 구분되게,미착수,,,
2,99,75,flower_075_데이지.svg,데이지,Bellis perennis,봄,흰색,국화과 · 4~5월 개화 · 화단,흰색 계열 봄꽃,미착수,,,
2,100,65,flower_065_꽃창포.svg,꽃창포,Iris ensata,여름,보라,붓꽃과 · 6~7월 개화 · 물가·습지,보라 계열 여름꽃 / '붓꽃'와 구분되게,미착수,,,
2,101,82,flower_082_해당화.svg,해당화,Rosa rugosa,여름,분홍,장미과 · 5~7월 개화 · 해안·공원,"분홍 계열 여름꽃 / '장미,찔레꽃'와 구분되게",미착수,,,
2,102,84,flower_084_산수국.svg,산수국,Hydrangea serrata,여름,파랑,수국과 · 6~8월 개화 · 산지 계곡,파랑 계열 여름꽃 / '수국'와 구분되게,미착수,,,
2,103,85,flower_085_나무수국.svg,나무수국,Hydrangea paniculata,여름,흰색,수국과 · 7~9월 개화 · 공원·정원,흰색 계열 여름꽃 / '수국'와 구분되게,미착수,,,
2,104,92,flower_092_싸리.svg,싸리,Lespedeza bicolor,여름,보라,콩과 · 7~8월 개화 · 산기슭·도로 사면,보라 계열 여름꽃 / '칡꽃'와 구분되게,미착수,,,
2,105,93,flower_093_칡꽃.svg,칡꽃,Pueraria lobata,여름,보라,콩과 · 7~8월 개화 · 산기슭·공터,"보라 계열 여름꽃 / '싸리,등나무'와 구분되게",미착수,,,
2,106,94,flower_094_인동덩굴.svg,인동덩굴,Lonicera japonica,여름,흰색,인동과 · 5~7월 개화 · 울타리·산기슭,흰꽃→노란꽃 변색. 도감 설명 필요,미착수,,,
2,107,98,flower_098_큰꽃으아리.svg,큰꽃으아리,Clematis patens,여름,흰색,미나리아재비과 · 5~6월 개화 · 화단·울타리,표시명 '클레마티스' 병기 / '으아리'와 구분되게,미착수,,,
2,108,102,flower_102_망초.svg,망초,Conyza canadensis,여름,흰색,국화과 · 7~9월 개화 · 공터·길가,개망초와 통합 표시 검토 (혀꽃 크기 차이) / '개망초'와 구분되게,미착수,,,
2,109,106,flower_106_기생초.svg,기생초,Coreopsis tinctoria,여름,노랑,국화과 · 7~9월 개화 · 도로변·화단,중심부 붉은 무늬로 구분 / '금계국'와 구분되게,미착수,,,
2,110,108,flower_108_삼잎국화.svg,삼잎국화,Rudbeckia laciniata,여름,노랑,국화과 · 7~9월 개화 · 하천변·공터,노랑 계열 여름꽃 / '원추천인국'와 구분되게,미착수,,,
2,111,113,flower_113_메꽃.svg,메꽃,Calystegia pubescens,여름,분홍,메꽃과 · 6~8월 개화 · 길가·논둑,분홍 계열 여름꽃 / '나팔꽃'와 구분되게,미착수,,,
2,112,118,flower_118_패랭이꽃.svg,패랭이꽃,Dianthus chinensis,여름,분홍,석죽과 · 6~8월 개화 · 화단·길가,"분홍 계열 여름꽃 / '수염패랭이꽃,술패랭이꽃'와 구분되게",미착수,,,
2,113,122,flower_122_꿀풀.svg,꿀풀,Prunella vulgaris,여름,보라,꿀풀과 · 5~7월 개화 · 풀밭·산기슭,보라 계열 여름꽃 / '배초향'와 구분되게,미착수,,,
2,114,127,flower_127_라벤더.svg,라벤더,Lavandula angustifolia,여름,보라,꿀풀과 · 6~7월 개화 · 화단·허브 농원,보라 계열 여름꽃,미착수,,,
2,115,130,flower_130_봉선화.svg,봉선화,Impatiens balsamina,여름,분홍,봉선화과 · 7~9월 개화 · 화단·주택가,"표시명 '봉숭아' 병기 / '물봉선,임파첸스'와 구분되게",미착수,,,
2,116,132,flower_132_돌나물.svg,돌나물,Sedum sarmentosum,여름,노랑,돌나물과 · 5~6월 개화 · 담장·바위 틈,노랑 계열 여름꽃 / '기린초'와 구분되게,미착수,,,
2,117,134,flower_134_큰까치수염.svg,큰까치수염,Lysimachia clethroides,여름,흰색,앵초과 · 6~8월 개화 · 산기슭·풀밭,흰색 계열 여름꽃 / '까치수염'와 구분되게,미착수,,,
2,118,139,flower_139_여뀌.svg,여뀌,Persicaria hydropiper,여름,분홍,마디풀과 · 6~9월 개화 · 물가·논둑,"분홍 계열 여름꽃 / '개여뀌,고마리'와 구분되게",미착수,,,
2,119,140,flower_140_개여뀌.svg,개여뀌,Persicaria longiseta,여름,분홍,마디풀과 · 6~9월 개화 · 길가·물가,분홍 계열 여름꽃 / '여뀌'와 구분되게,미착수,,,
2,120,144,flower_144_초롱꽃.svg,초롱꽃,Campanula punctata,여름,흰색,초롱꽃과 · 6~7월 개화 · 산기슭·화단,흰색 계열 여름꽃 / '섬초롱꽃'와 구분되게,미착수,,,
2,121,148,flower_148_백합.svg,백합,Lilium longiflorum,여름,흰색,백합과 · 6~7월 개화 · 화단·화분,표시명 '나팔백합' 병기 / '참나리'와 구분되게,미착수,,,
2,122,150,flower_150_노랑원추리.svg,노랑원추리,Hemerocallis thunbergii,여름,노랑,백합과 · 7~8월 개화 · 공원·화단,노랑 계열 여름꽃 / '원추리'와 구분되게,미착수,,,
2,123,153,flower_153_상사화.svg,상사화,Lycoris squamigera,여름,분홍,수선화과 · 7~8월 개화 · 공원·사찰,분홍 계열 여름꽃 / '꽃무릇'와 구분되게,미착수,,,
2,124,155,flower_155_수련.svg,수련,Nymphaea tetragona,여름,흰색,수련과 · 6~8월 개화 · 연못,흰색 계열 여름꽃 / '연꽃'와 구분되게,미착수,,,
2,125,156,flower_156_부추꽃.svg,부추꽃,Allium tuberosum,여름,흰색,백합과 · 8~9월 개화 · 밭·화단,흰색 계열 여름꽃 / '산부추'와 구분되게,미착수,,,
2,126,162,flower_162_만수국.svg,만수국,Tagetes patula,여름,노랑,국화과 · 6~10월 개화 · 화단,메리골드와 통합 표시 검토 / '메리골드'와 구분되게,미착수,,,
2,127,164,flower_164_맨드라미.svg,맨드라미,Celosia cristata,여름,붉은색,비름과 · 7~9월 개화 · 화단,붉은색 계열 여름꽃,미착수,,,
2,128,165,flower_165_제라늄.svg,제라늄,Pelargonium inquinans,여름,붉은색,쥐손이풀과 · 5~10월 개화 · 화분·베란다,붉은색 계열 여름꽃,미착수,,,
2,129,166,flower_166_임파첸스.svg,임파첸스,Impatiens walleriana,여름,분홍,봉선화과 · 6~10월 개화 · 화단 그늘,"분홍 계열 여름꽃 / '봉선화,베고니아'와 구분되게",미착수,,,
2,130,167,flower_167_베고니아.svg,베고니아,Begonia semperflorens,여름,분홍,베고니아과 · 5~10월 개화 · 화단·화분,분홍 계열 여름꽃 / '임파첸스'와 구분되게,미착수,,,
2,131,168,flower_168_버들마편초.svg,버들마편초,Verbena bonariensis,여름,보라,마편초과 · 7~9월 개화 · 화단·경관 초지,보라 계열 여름꽃 / '버베나'와 구분되게,미착수,,,
2,132,170,flower_170_수레국화.svg,수레국화,Centaurea cyanus,여름,파랑,국화과 · 6~7월 개화 · 화단·경관 초지,파랑 계열 희소 — 색상 필터 가치,미착수,,,
2,133,173,flower_173_다알리아.svg,다알리아,Dahlia pinnata,여름,기타,국화과 · 7~10월 개화 · 화단,기타 계열 여름꽃 / '백일홍'와 구분되게,미착수,,,
