도감번호,이름,학명,과,개화기,계절,대표색,희귀도,주요서식지,AI난이도,비슷한꽃,일러스트배치,비고
20,이팝나무,Chionanthus retusus,물푸레나무과,5~6월,봄,흰색,흔함,가로수,중,쥐똥나무,2,최근 가로수 식재 급증
21,아까시나무,Robinia pseudoacacia,콩과,5~6월,봄,흰색,흔함,산지·도로변,중,회화나무,1,표시명 '아카시아꽃' 병기 — 대중 인지명
22,등나무,Wisteria floribunda,콩과,5월,봄,보라,흔함,공원 그늘막·정자,하,칡꽃,1,
23,병꽃나무,Weigela subsessilis,인동과,5월,봄,붉은색,보통,산지·공원,중,-,3,한국 고유종
24,황매화,Kerria japonica,장미과,4~5월,봄,노랑,보통,공원·화단,중,-,2,
25,산딸나무,Cornus kousa,층층나무과,5~6월,봄,흰색,보통,공원·가로수,하,-,2,십자형 흰 총포
26,쥐똥나무,Ligustrum obtusifolium,물푸레나무과,5~6월,봄,흰색,흔함,울타리·도로변,중,"이팝나무,조팝나무",2,생울타리 최다
27,모란,Paeonia suffruticosa,작약과,5월,봄,붉은색,보통,정원·고궁,중,작약,2,작약과 오인. 목본 여부가 구분점
28,작약,Paeonia lactiflora,작약과,5~6월,봄,분홍,보통,화단·농가,중,모란,2,
29,찔레꽃,Rosa multiflora,장미과,5~6월,봄,흰색,흔함,들·산기슭,중,"장미,해당화",1,
30,마가목,Sorbus commixta,장미과,5~6월,봄,흰색,보통,공원·산지,상,-,3,
31,민들레,Taraxacum platycarpum,국화과,3~5월,봄,노랑,흔함,길가·공터,중,"서양민들레,씀바귀",1,온보딩 추천 1순위. 서양민들레와 통합 표시 검토
32,서양민들레,Taraxacum officinale,국화과,3~10월,봄,노랑,흔함,길가·공터,상,민들레,1,실제 도심 개체 대부분. 총포로만 구분 → 통합 여부 결정 필요
33,제비꽃,Viola mandshurica,제비꽃과,4~5월,봄,보라,흔함,길가·잔디밭,중,"남산제비꽃,팬지",1,
34,남산제비꽃,Viola albida,제비꽃과,4~5월,봄,흰색,보통,산지,상,제비꽃,3,
35,꽃마리,Trigonotis peduncularis,지치과,4~5월,봄,파랑,흔함,길가·잔디밭,상,큰개불알풀,2,지름 2mm — 접사 유도 문구 필요
36,큰개불알풀,Veronica persica,현삼과,3~5월,봄,파랑,흔함,길가·밭,중,꽃마리,1,표시명 '봄까치꽃' 사용 권고 — 원명 부적절
37,봄맞이꽃,Androsace umbellata,앵초과,4~5월,봄,흰색,보통,길가·논둑,상,별꽃,3,
38,별꽃,Stellaria media,석죽과,3~5월,봄,흰색,흔함,길가·밭,상,"쇠별꽃,개별꽃",2,
39,쇠별꽃,Stellaria aquatica,석죽과,4~6월,봄,흰색,흔함,습한 길가,상,별꽃,3,
40,개별꽃,Pseudostellaria heterophylla,석죽과,4~5월,봄,흰색,보통,산지 숲,상,별꽃,3,
41,광대나물,Lamium amplexicaule,꿀풀과,3~5월,봄,분홍,흔함,길가·밭,중,자주광대나물,2,
42,자주광대나물,Lamium purpureum,꿀풀과,3~5월,봄,보라,보통,길가·공터,상,광대나물,3,
43,냉이,Capsella bursa-pastoris,십자화과,3~5월,봄,흰색,흔함,길가·밭,중,-,2,도감 외 혼동종: 말냉이
44,애기똥풀,Chelidonium majus,양귀비과,5~8월,봄,노랑,흔함,길가·담장 밑,중,씀바귀,1,
45,씀바귀,Ixeris dentata,국화과,5~7월,봄,노랑,흔함,길가·들,상,"고들빼기,민들레",2,국화과 노란 꽃 혼동 그룹
46,고들빼기,Crepidiastrum sonchifolium,국화과,5~8월,봄,노랑,흔함,길가·공터,상,"씀바귀,뽀리뱅이",2,
47,뽀리뱅이,Youngia japonica,국화과,5~6월,봄,노랑,흔함,길가·화단 틈,상,고들빼기,3,
48,지칭개,Hemistepta lyrata,국화과,5~7월,봄,보라,흔함,길가·공터,중,엉겅퀴,2,
49,엉겅퀴,Cirsium japonicum,국화과,6~8월,가을,보라,보통,들·산기슭,중,지칭개,2,
50,유채꽃,Brassica napus,십자화과,3~5월,봄,노랑,흔함,강변·경관 밭,중,-,1,제주·강변 대규모 군락 / 도감 외 혼동종: 배추꽃
51,토끼풀,Trifolium repens,콩과,5~8월,봄,흰색,흔함,잔디밭·공원,하,붉은토끼풀,1,온보딩 추천. 네잎 발견 이벤트 확장 여지
52,붉은토끼풀,Trifolium pratense,콩과,5~8월,봄,분홍,흔함,길가·잔디밭,하,토끼풀,2,
53,살갈퀴,Vicia angustifolia,콩과,4~5월,봄,보라,흔함,길가·논둑,상,-,3,도감 외 혼동종: 얼치기완두
54,자운영,Astragalus sinicus,콩과,4~5월,봄,분홍,보통,논·밭 (남부),중,붉은토끼풀,3,남부 지역 한정
55,벌노랑이,Lotus corniculatus,콩과,5~8월,봄,노랑,보통,길가·잔디밭,중,-,3,
56,금낭화,Lamprocapnos spectabilis,현호색과,5~6월,봄,분홍,보통,화단·산지,하,-,2,형태 특이 = AI 판별 용이
57,현호색,Corydalis remota,현호색과,4~5월,봄,보라,보통,산지 숲,상,-,3,
58,할미꽃,Pulsatilla koreana,미나리아재비과,4~5월,봄,보라,귀함,산소·풀밭,하,-,3,개체 감소. 발견 시 희귀 연출 후보
59,노루귀,Hepatica asiatica,미나리아재비과,3~4월,겨울,분홍,귀함,산지 숲,중,-,3,이른 봄 산행
60,복수초,Adonis amurensis,미나리아재비과,2~4월,겨울,노랑,귀함,산지 숲,중,-,3,눈 속 개화. 겨울 시즌 콘텐츠
61,변산바람꽃,Eranthis byunsanensis,미나리아재비과,2~3월,겨울,흰색,귀함,남부 산지,중,-,3,한국 고유종. 최고 희귀 등급 후보
62,앵초,Primula sieboldii,앵초과,4~5월,봄,분홍,귀함,산지 습지,중,-,3,
63,은방울꽃,Convallaria keiskei,백합과,5~6월,봄,흰색,귀함,산지 숲,하,-,3,
64,붓꽃,Iris sanguinea,붓꽃과,5~6월,봄,보라,보통,공원·화단,중,"꽃창포,노랑꽃창포",2,
65,꽃창포,Iris ensata,붓꽃과,6~7월,여름,보라,보통,물가·습지,상,붓꽃,2,
66,노랑꽃창포,Iris pseudacorus,붓꽃과,5~6월,봄,노랑,보통,물가·수변공원,중,꽃창포,2,
67,등심붓꽃,Sisyrinchium rosulatum,붓꽃과,5~6월,봄,보라,보통,잔디밭 (남부),상,-,3,
68,튤립,Tulipa gesneriana,백합과,4~5월,봄,기타,흔함,화단·공원,하,-,1,색 변이 다수 → 색상 필터에서 '기타' 처리
69,수선화,Narcissus tazetta,수선화과,3~4월,봄,노랑,흔함,화단·공원,하,-,1,
70,히아신스,Hyacinthus orientalis,아스파라거스과,4월,봄,보라,보통,화단·화분,하,무스카리,2,
71,무스카리,Muscari armeniacum,아스파라거스과,4~5월,봄,파랑,보통,화단,하,히아신스,2,
72,크로커스,Crocus vernus,붓꽃과,3~4월,봄,보라,보통,화단,중,-,3,
73,팬지,Viola × wittrockiana,제비꽃과,3~5월,봄,기타,흔함,화단·화분,중,"비올라,제비꽃",1,도심 화단 최다 초화
74,비올라,Viola cornuta,제비꽃과,3~5월,봄,기타,흔함,화단·화분,상,팬지,2,팬지의 소형종. 통합 표시 검토
75,데이지,Bellis perennis,국화과,4~5월,봄,흰색,흔함,화단,중,-,2,
76,프리지어,Freesia refracta,붓꽃과,3~4월,봄,노랑,보통,화단·화분,중,-,3,
77,라넌큘러스,Ranunculus asiaticus,미나리아재비과,4~5월,봄,기타,보통,화단·화분,중,-,3,
78,아네모네,Anemone coronaria,미나리아재비과,4~5월,봄,기타,보통,화단,중,-,3,
79,꽃잔디,Phlox subulata,꽃고비과,4~5월,봄,분홍,흔함,화단·경사면,하,-,1,표시명 '지면패랭이꽃' 병기
80,물망초,Myosotis scorpioides,지치과,5~6월,봄,파랑,보통,화단·물가,상,꽃마리,3,
81,장미,Rosa hybrida,장미과,5~10월,여름,붉은색,흔함,화단·담장,중,"찔레꽃,해당화",1,기획서 예시 종. 온보딩 추천 1순위
82,해당화,Rosa rugosa,장미과,5~7월,여름,분홍,보통,해안·공원,중,"장미,찔레꽃",2,
83,수국,Hydrangea macrophylla,수국과,6~7월,여름,파랑,흔함,공원·정원,하,"산수국,나무수국",1,토양 pH로 색 변화 — 색상 필터 예외 처리
84,산수국,Hydrangea serrata,수국과,6~8월,여름,파랑,보통,산지 계곡,중,수국,2,
85,나무수국,Hydrangea paniculata,수국과,7~9월,여름,흰색,보통,공원·정원,중,수국,2,
86,능소화,Campsis grandiflora,능소화과,7~8월,여름,주황,흔함,담장·아파트 화단,하,-,1,여름 도심 대표 꽃
87,배롱나무,Lagerstroemia indica,부처꽃과,7~9월,여름,분홍,흔함,공원·가로수,중,-,1,표시명 '백일홍(나무)' 혼동 주의 → 배롱나무로 확정
88,무궁화,Hibiscus syriacus,아욱과,7~9월,여름,분홍,흔함,공원·학교·관공서,중,"부용,접시꽃",1,국화(國花). 시즌 컬렉션 소재
89,부용,Hibiscus mutabilis,아욱과,8~10월,가을,분홍,보통,공원·정원,상,"무궁화,접시꽃",2,
90,자귀나무,Albizia julibrissin,콩과,6~7월,여름,분홍,흔함,공원·도로변,하,-,1,부채 형태 = 판별 용이
91,회화나무,Styphnolobium japonicum,콩과,7~8월,여름,흰색,보통,가로수·고궁,상,아까시나무,3,
92,싸리,Lespedeza bicolor,콩과,7~8월,여름,보라,흔함,산기슭·도로 사면,중,칡꽃,2,
93,칡꽃,Pueraria lobata,콩과,7~8월,여름,보라,흔함,산기슭·공터,중,"싸리,등나무",2,
94,인동덩굴,Lonicera japonica,인동과,5~7월,여름,흰색,흔함,울타리·산기슭,중,-,2,흰꽃→노란꽃 변색. 도감 설명 필요
95,치자나무,Gardenia jasminoides,꼭두서니과,6~7월,여름,흰색,보통,정원 (남부),중,-,3,
96,모감주나무,Koelreuteria paniculata,무환자나무과,6~7월,여름,노랑,보통,공원·해안,중,-,3,
97,개오동,Catalpa ovata,능소화과,6~7월,여름,흰색,보통,공원·학교,중,-,3,
98,큰꽃으아리,Clematis patens,미나리아재비과,5~6월,여름,흰색,보통,화단·울타리,중,으아리,2,표시명 '클레마티스' 병기
99,사위질빵,Clematis apiifolia,미나리아재비과,7~8월,여름,흰색,흔함,산기슭·울타리,상,으아리,3,
100,으아리,Clematis terniflora,미나리아재비과,7~8월,여름,흰색,보통,산기슭,상,사위질빵,3,
101,개망초,Erigeron annuus,국화과,6~8월,여름,흰색,흔함,공터·길가,중,"망초,실망초",1,전국 최다 야생화. 온보딩 추천 1순위
102,망초,Conyza canadensis,국화과,7~9월,여름,흰색,흔함,공터·길가,상,개망초,2,개망초와 통합 표시 검토 (혀꽃 크기 차이)
103,실망초,Conyza bonariensis,국화과,7~9월,여름,흰색,보통,공터,상,망초,3,
104,큰금계국,Coreopsis lanceolata,국화과,6~8월,여름,노랑,흔함,도로변·하천,중,"금계국,기생초",1,도로변 경관 식재 최다. 실제 대부분이 큰금계국
105,금계국,Coreopsis basalis,국화과,6~8월,여름,노랑,보통,화단·도로변,상,큰금계국,1,기획서 예시 종. 큰금계국과 통합 여부 결정 필요
106,기생초,Coreopsis tinctoria,국화과,7~9월,여름,노랑,보통,도로변·화단,중,금계국,2,중심부 붉은 무늬로 구분
107,원추천인국,Rudbeckia hirta,국화과,7~9월,여름,노랑,흔함,화단·도로변,중,"삼잎국화,해바라기",1,표시명 '루드베키아' 병기 — 대중 인지명
108,삼잎국화,Rudbeckia laciniata,국화과,7~9월,여름,노랑,보통,하천변·공터,중,원추천인국,2,
109,해바라기,Helianthus annuus,국화과,7~9월,여름,노랑,흔함,밭·경관 화단,하,-,1,
110,코스모스,Cosmos bipinnatus,국화과,8~10월,가을,분홍,흔함,하천변·길가,하,노랑코스모스,1,가을 시즌 대표. 온보딩 추천
111,노랑코스모스,Cosmos sulphureus,국화과,7~10월,여름,주황,흔함,도로변·하천,중,"코스모스,금계국",1,
112,나팔꽃,Ipomoea nil,메꽃과,7~9월,여름,보라,흔함,담장·울타리,중,"메꽃,애기나팔꽃",1,
113,메꽃,Calystegia pubescens,메꽃과,6~8월,여름,분홍,흔함,길가·논둑,중,나팔꽃,2,
114,애기나팔꽃,Ipomoea lacunosa,메꽃과,7~9월,여름,흰색,보통,공터·하천,상,나팔꽃,3,
115,달맞이꽃,Oenothera biennis,바늘꽃과,6~9월,여름,노랑,흔함,하천변·공터,중,낮달맞이꽃,1,저녁 개화 — 촬영 시간 안내 필요
116,낮달맞이꽃,Oenothera speciosa,바늘꽃과,5~9월,여름,분홍,흔함,화단·도로변,하,달맞이꽃,1,
117,접시꽃,Alcea rosea,아욱과,6~8월,여름,분홍,보통,화단·담장 밑,중,"무궁화,부용",1,기획서 예시 종
118,패랭이꽃,Dianthus chinensis,석죽과,6~8월,여름,분홍,보통,화단·길가,중,"수염패랭이꽃,술패랭이꽃",2,
119,수염패랭이꽃,Dianthus barbatus,석죽과,6~7월,여름,붉은색,보통,화단,중,패랭이꽃,3,
120,술패랭이꽃,Dianthus longicalyx,석죽과,7~8월,여름,분홍,귀함,산지·풀밭,중,패랭이꽃,3,
121,끈끈이대나물,Silene armeria,석죽과,6~8월,여름,분홍,보통,길가·공터,중,-,3,
122,꿀풀,Prunella vulgaris,꿀풀과,5~7월,여름,보라,흔함,풀밭·산기슭,중,배초향,2,
123,배초향,Agastache rugosa,꿀풀과,7~9월,가을,보라,보통,산기슭·밭,중,"꿀풀,층층이꽃",2,표시명 '방아풀' 병기 검토
124,익모초,Leonurus japonicus,꿀풀과,7~8월,여름,분홍,보통,길가·공터,상,-,3,
125,층층이꽃,Clinopodium chinense,꿀풀과,7~8월,여름,분홍,보통,산기슭·풀밭,상,배초향,3,
126,박하,Mentha canadensis,꿀풀과,7~9월,여름,보라,보통,물가·밭,상,-,3,
127,라벤더,Lavandula angustifolia,꿀풀과,6~7월,여름,보라,보통,화단·허브 농원,하,-,2,
128,부처꽃,Lythrum anceps,부처꽃과,7~8월,여름,보라,보통,습지·물가,중,-,3,
129,물봉선,Impatiens textori,봉선화과,8~9월,가을,분홍,보통,산지 계곡,중,봉선화,2,
130,봉선화,Impatiens balsamina,봉선화과,7~9월,여름,분홍,보통,화단·주택가,중,"물봉선,임파첸스",2,표시명 '봉숭아' 병기
131,노루오줌,Astilbe rubra,범의귀과,7~8월,여름,분홍,보통,산지 계곡,중,-,3,
132,돌나물,Sedum sarmentosum,돌나물과,5~6월,여름,노랑,흔함,담장·바위 틈,중,기린초,2,
133,기린초,Phedimus kamtschaticus,돌나물과,6~7월,여름,노랑,보통,바위·화단,중,돌나물,3,
134,큰까치수염,Lysimachia clethroides,앵초과,6~8월,여름,흰색,보통,산기슭·풀밭,중,까치수염,2,
135,까치수염,Lysimachia barystachys,앵초과,6~8월,여름,흰색,보통,풀밭,상,큰까치수염,3,
136,좁쌀풀,Lysimachia vulgaris,앵초과,6~8월,여름,노랑,보통,습지·풀밭,중,-,3,
137,짚신나물,Agrimonia pilosa,장미과,6~8월,여름,노랑,보통,산기슭·길가,상,-,3,
138,이질풀,Geranium thunbergii,쥐손이풀과,8~9월,가을,분홍,보통,산기슭·길가,중,-,3,
139,여뀌,Persicaria hydropiper,마디풀과,6~9월,여름,분홍,흔함,물가·논둑,상,"개여뀌,고마리",2,
140,개여뀌,Persicaria longiseta,마디풀과,6~9월,여름,분홍,흔함,길가·물가,상,여뀌,2,
141,고마리,Persicaria thunbergii,마디풀과,8~9월,가을,분홍,흔함,물가·논둑,중,여뀌,2,
142,이삭여뀌,Persicaria filiformis,마디풀과,7~8월,여름,붉은색,보통,산지 숲,상,여뀌,3,
143,도라지,Platycodon grandiflorus,초롱꽃과,7~8월,여름,보라,보통,밭·화단,하,-,1,풍선 봉오리 = 판별 용이
144,초롱꽃,Campanula punctata,초롱꽃과,6~7월,여름,흰색,보통,산기슭·화단,중,섬초롱꽃,2,
145,섬초롱꽃,Campanula takesimana,초롱꽃과,6~8월,여름,분홍,귀함,울릉도·화단,중,초롱꽃,3,한국 고유종
146,잔대,Adenophora triphylla,초롱꽃과,7~9월,여름,보라,보통,산지·풀밭,중,-,3,
147,참나리,Lilium lancifolium,백합과,7~8월,여름,주황,보통,산기슭·화단,하,백합,1,검은 반점 = 판별 용이
148,백합,Lilium longiflorum,백합과,6~7월,여름,흰색,보통,화단·화분,중,참나리,2,표시명 '나팔백합' 병기
149,원추리,Hemerocallis fulva,백합과,6~8월,여름,주황,흔함,도로변·공원,중,"노랑원추리,참나리",1,
150,노랑원추리,Hemerocallis thunbergii,백합과,7~8월,여름,노랑,보통,공원·화단,중,원추리,2,
151,옥잠화,Hosta plantaginea,백합과,8~9월,가을,흰색,보통,화단·공원,중,비비추,2,
152,비비추,Hosta longipes,백합과,7~8월,여름,보라,흔함,화단·공원 그늘,중,옥잠화,1,그늘 조경 최다
153,상사화,Lycoris squamigera,수선화과,7~8월,여름,분홍,보통,공원·사찰,하,꽃무릇,2,
154,연꽃,Nelumbo nucifera,연꽃과,7~8월,여름,분홍,보통,연못·수생공원,하,수련,1,
155,수련,Nymphaea tetragona,수련과,6~8월,여름,흰색,보통,연못,하,연꽃,2,
156,부추꽃,Allium tuberosum,백합과,8~9월,여름,흰색,흔함,밭·화단,중,산부추,2,
157,백일홍,Zinnia elegans,국화과,6~10월,여름,기타,흔함,화단,중,다알리아,1,표시명 '백일초' 병기 (배롱나무와 구분)
158,채송화,Portulaca grandiflora,쇠비름과,6~9월,여름,기타,흔함,화단·화분,중,송엽국,1,
159,송엽국,Lampranthus spectabilis,석류풀과,4~6월,여름,분홍,흔함,화단·경사면,중,채송화,1,표시명 '사철채송화' 병기
160,페튜니아,Petunia hybrida,가지과,5~10월,여름,기타,흔함,화단·걸이 화분,중,-,1,도심 화분 최다
161,메리골드,Tagetes erecta,국화과,6~10월,여름,주황,흔함,화단,중,만수국,1,표시명 '천수국' 병기
162,만수국,Tagetes patula,국화과,6~10월,여름,노랑,흔함,화단,상,메리골드,2,메리골드와 통합 표시 검토
163,깨꽃,Salvia splendens,꿀풀과,6~10월,여름,붉은색,흔함,화단,하,-,1,표시명 '사르비아' 병기 — 대중 인지명
164,맨드라미,Celosia cristata,비름과,7~9월,여름,붉은색,보통,화단,하,-,2,
165,제라늄,Pelargonium inquinans,쥐손이풀과,5~10월,여름,붉은색,흔함,화분·베란다,중,-,2,
166,임파첸스,Impatiens walleriana,봉선화과,6~10월,여름,분홍,흔함,화단 그늘,상,"봉선화,베고니아",2,
167,베고니아,Begonia semperflorens,베고니아과,5~10월,여름,분홍,흔함,화단·화분,중,임파첸스,2,
168,버들마편초,Verbena bonariensis,마편초과,7~9월,여름,보라,흔함,화단·경관 초지,중,버베나,2,
169,버베나,Verbena hybrida,마편초과,5~9월,여름,보라,보통,화단·화분,중,버들마편초,3,
170,수레국화,Centaurea cyanus,국화과,6~7월,여름,파랑,보통,화단·경관 초지,하,-,2,파랑 계열 희소 — 색상 필터 가치
171,안개꽃,Gypsophila elegans,석죽과,6~7월,여름,흰색,보통,화단·꽃다발,중,-,3,
172,가자니아,Gazania rigens,국화과,6~9월,여름,노랑,보통,화단,중,-,3,
173,다알리아,Dahlia pinnata,국화과,7~10월,여름,기타,보통,화단,중,백일홍,2,
174,글라디올러스,Gladiolus hybridus,붓꽃과,7~8월,여름,기타,보통,화단·밭,중,-,3,
175,칸나,Canna generalis,홍초과,7~9월,여름,붉은색,보통,화단·공원,하,-,2,
176,한련화,Tropaeolum majus,한련과,6~9월,여름,주황,보통,화단·화분,중,-,3,
177,천일홍,Gomphrena globosa,비름과,7~10월,여름,분홍,보통,화단,하,-,2,
178,아게라텀,Ageratum houstonianum,국화과,6~9월,여름,보라,보통,화단,중,-,3,
179,국화,Chrysanthemum morifolium,국화과,10~11월,가을,기타,흔함,화단·전시·화분,중,"산국,감국",1,가을 시즌 대표. 품종 다수 → 통합 표시
180,산국,Chrysanthemum boreale,국화과,9~11월,가을,노랑,보통,산기슭·풀밭,상,"감국,국화",2,
181,감국,Chrysanthemum indicum,국화과,10~11월,가을,노랑,보통,산기슭·해안,상,산국,3,
182,구절초,Dendranthema zawadskii,국화과,9~10월,가을,흰색,보통,산지·화단,중,"쑥부쟁이,벌개미취",1,
183,벌개미취,Aster koraiensis,국화과,6~10월,가을,보라,흔함,도로변·공원,상,"쑥부쟁이,개미취",1,한국 고유종. 경관 식재 최다
184,쑥부쟁이,Aster yomena,국화과,8~10월,가을,보라,흔함,길가·풀밭,상,"벌개미취,미국쑥부쟁이",1,'쑥부쟁이 3종' 혼동 그룹 — 통합 여부 결정 필요
185,개미취,Aster tataricus,국화과,8~10월,가을,보라,보통,산지·화단,상,벌개미취,2,
186,미국쑥부쟁이,Symphyotrichum pilosum,국화과,9~10월,가을,흰색,흔함,공터·도로변,상,"쑥부쟁이,개망초",2,생태교란종. 도심 최다
187,참취,Aster scaber,국화과,8~10월,가을,흰색,보통,산지 숲,상,미국쑥부쟁이,3,
188,꽃무릇,Lycoris radiata,수선화과,9~10월,가을,붉은색,보통,사찰·공원,하,상사화,1,표시명 '석산' 병기. 군락 명소 다수 = 지도 콘텐츠
189,용담,Gentiana scabra,용담과,9~10월,가을,파랑,귀함,산지 풀밭,중,-,3,
190,투구꽃,Aconitum jaluense,미나리아재비과,9~10월,가을,보라,귀함,산지 숲,중,-,3,독성 — 도감 설명에 주의 문구
191,마타리,Patrinia scabiosifolia,마타리과,8~10월,가을,노랑,보통,산기슭·풀밭,중,뚝갈,2,
192,뚝갈,Patrinia villosa,마타리과,8~9월,가을,흰색,보통,산기슭,상,마타리,3,
193,며느리밥풀꽃,Melampyrum roseum,현삼과,8~9월,가을,분홍,보통,산지 숲,중,-,3,
194,왕고들빼기,Lactuca indica,국화과,8~10월,가을,노랑,흔함,공터·길가,중,고들빼기,2,
195,방가지똥,Sonchus oleraceus,국화과,5~10월,가을,노랑,흔함,길가·화단 틈,상,씀바귀,3,도감 외 혼동종: 사데풀
196,미국가막사리,Bidens frondosa,국화과,8~10월,가을,노랑,흔함,물가·공터,중,-,3,도감 외 혼동종: 도깨비바늘
197,서양등골나물,Ageratina altissima,국화과,9~10월,가을,흰색,흔함,산기슭·도심 숲,중,-,2,생태교란종 / 도감 외 혼동종: 등골나물
198,산부추,Allium thunbergii,백합과,9~10월,가을,보라,보통,산지·바위,중,부추꽃,3,
199,억새,Miscanthus sinensis,벼과,9~10월,가을,기타,흔함,산지·하천·억새밭,중,수크령,1,꽃이삭. 가을 촬영 수요 매우 높음 → 도감 포함 / 도감 외 혼동종: 갈대
200,수크령,Pennisetum alopecuroides,벼과,8~10월,가을,기타,흔함,길가·도로변,중,억새,2,꽃이삭 / 도감 외 혼동종: 강아지풀
